time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-12-05T10:58:19.800Z,38.7872,-122.7805,3.8,2.7,Md,,21.6,0.00898315,0.03,nc,nc72115235,2013-12-06T01:18:10.311Z,"2km WNW of The Geysers, California",earthquake
2013-12-05T10:57:29.900Z,38.7902,-122.778,3,3.4,Ml,,21.6,0.00898315,0.04,nc,nc72115230,2013-12-06T00:49:07.018Z,"2km NW of The Geysers, California",earthquake
2013-12-04T21:35:37.700Z,38.778,-122.7248,0,2.6,Md,,39.6,0.00898315,0.1,nc,nc72114715,2013-12-05T01:14:10.967Z,"2km E of The Geysers, California",earthquake
2013-12-03T06:39:40.000Z,38.7633,-122.7383,3,2.8,Md,,18,0.00898315,0.07,nc,nc72113505,2013-12-03T11:01:10.444Z,"2km SE of The Geysers, California",earthquake
2013-12-02T10:05:21.700Z,36.9395,-121.5357,7.9,3.7,Mw,,21.6,0.02694946,0.16,nc,nc72113080,2013-12-05T19:06:19.559Z,"7km SSE of Gilroy, California",earthquake
2013-12-02T09:34:24.000Z,36.94,-121.5365,7,2.5,Md,,28.8,0.02694946,0.13,nc,nc72113065,2013-12-06T03:23:09.692Z,"7km SSE of Gilroy, California",earthquake
2013-12-01T14:14:25.200Z,37.2507,-122.1687,11.2,2.8,Md,,64.8,0.03593261,0.21,nc,nc72112690,2013-12-05T19:14:47.288Z,"12km SSW of Loyola, California",earthquake
2013-11-30T22:09:21.300Z,36.518,-121.1027,4.9,2.6,Md,,36,0.01796631,0.06,nc,nc72112395,2013-12-02T11:06:15.200Z,"22km ENE of Soledad, California",earthquake
2013-11-29T02:02:53.700Z,38.809,-122.8118,2.1,2.5,Md,,36,0.00898315,0.04,nc,nc72111515,2013-11-29T10:05:32.105Z,"5km NW of The Geysers, California",earthquake
2013-11-26T09:39:57.700Z,38.8088,-122.8182,3.3,2.6,Md,,25.2,0.00898315,0.03,nc,nc72110115,2013-11-26T17:42:31.827Z,"6km WNW of The Geysers, California",earthquake
2013-11-26T01:02:41.000Z,38.8348,-122.7995,2.6,2.5,Md,,43.2,0.00898315,0.04,nc,nc72109855,2013-12-02T19:57:10.528Z,"6km WNW of Cobb, California",earthquake
2013-11-23T22:34:04.800Z,38.8803,-122.7962,3.8,2.7,Md,,54,0.00898315,0.06,nc,nc72108735,2013-11-25T23:28:53.651Z,"9km NW of Cobb, California",earthquake
2013-11-23T16:01:28.800Z,37.7772,-121.9402,8,2.7,Md,,54,0.08084838,0.08,nc,nc72108595,2013-11-28T04:33:09.217Z,"3km E of San Ramon, California",earthquake
2013-11-22T14:03:12.200Z,38.7762,-122.729,2,2.5,Md,,39.6,0.00898315,0.05,nc,nc72108125,2013-11-23T05:47:09.737Z,"2km E of The Geysers, California",earthquake
2013-11-22T06:29:23.100Z,38.8438,-122.828,3,2.7,Md,,50.4,0.00898315,0.07,nc,nc72108030,2013-11-23T04:19:09.878Z,"9km WNW of Cobb, California",earthquake
2013-11-17T11:26:07.100Z,38.2892,-122.6053,4.7,2.7,Md,,43.2,0.04491576,0.11,nc,nc72108871,2013-11-27T09:51:50.000Z,"5km ESE of Penngrove, California",earthquake
2013-11-14T08:49:56.500Z,38.7993,-122.7722,0.3,2.6,Md,,28.8,0.01796631,0.05,nc,nc72107361,2013-11-14T16:52:48.116Z,"2km NNW of The Geysers, California",earthquake
2013-11-14T08:47:18.400Z,38.7877,-122.761,2.5,3.4,Mw,,28.8,0.00898315,0.06,nc,nc72107336,2013-11-15T01:57:09.767Z,"1km NNW of The Geysers, California",earthquake
2013-11-13T17:30:30.500Z,37.7863,-121.9658,10.3,3.3,Mw,,54,0.00898315,0.13,nc,nc72106876,2013-11-24T05:12:51.679Z,"1km ENE of San Ramon, California",earthquake
